#CODE;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_find_lover_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_find_lover_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_befriend_liege_title;Become a friend to your liege;Devenir l'ami de votre suzerain.;;;Hacerte amigo de tu señor.;;;;;x;;;;x
obj_befriend_liege_desc;[This.GetTitledFirstName] desires to befried their liege.;[This.GetTitledFirstName] désire être l'ami de son suzerain.;;;[This.GetTitledFirstName] desea hacerse amigo de su señor.;;;;;x;;;;x
obj_happy_marriage_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_happy_marriage_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_five_children_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_five_children_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_a_knight_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_a_knight_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_improve_combat_ability_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_improve_combat_ability_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_win_the_war_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_win_the_war_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_break_out_of_prison_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_break_out_of_prison_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_king_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_king_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_lord_paramount_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_lord_paramount_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_a_duke_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_a_duke_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_1_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_1_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_2_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_2_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_3_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_3_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_4_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_4_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_5_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_increase_demesne_5_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_a_famous_tourney_knight_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_a_famous_tourney_knight_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
won_the_war;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
won_the_war_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_castellan_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_castellan_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_councillor_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_become_councillor_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_obtain_valyrian_sword_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_obtain_valyrian_sword_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
SUCCESSobj_obtain_valyrian_sword;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_obtain_dragon_egg_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_obtain_dragon_egg_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_tame_a_dragon_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_tame_a_dragon_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
obj_expand_realm_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
