#CODE;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
e_vale;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
e_vale_adj;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
k_vale;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
k_vale_adj;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
B_MIDLOR_KEEP;Midlor Keep;Fort-Midlor;;;Torrecilla;OJO;;;;;;;;x
d_the_sisters;The Sisters;Les Trois Sœurs;The Sisters;The Sisters;Tres Hermanas;COMPROBAR OK;;;;;;;;x
c_sweetsister;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_sisterton;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_breakwater;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_crably;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_longsister;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_starsea_beacon;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_gimbleton;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_littlesister;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_havenry;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_blackhaven_a;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
d_the_bite;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_bite_coast;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_blackmund_tower;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_biteport;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_sunnyvale;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_scorched_vale;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_blackholm;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_alchebarge;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_darkcroft;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_crows_barrens;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_stonekyme;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_potterby;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_rockle;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_moonsgrey;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_renwick;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_menaskham;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_horcrag;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
d_the_fingers;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_pebble;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_pebb;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_the_paps;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_elseham;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_wycliffe;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_scarle_keep;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_midlor_point;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_baelskeep;Baelskeep;Fort-Bael;Baelskeep;Baelskeep;Torrecilla del Titán;ojo;;;;;;;;x
c_sunset_keep;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_sunset_keep;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
d_northweald;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_newkeep;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_newkeep;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_wiskyme;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_wickby;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_coldwater_burn;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_coldwater_burn;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_rosesk;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_rosvale;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_snakewood;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_snakewood_seat;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_bycopse;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_woodvale;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
d_strongsong;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_strongsong;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_strongsong;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_belham;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_blackford;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_darkmoor;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_burning_heath;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_timmeton;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_crown_crag;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_the_crown;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_egenford;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_highcliff_watch;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
d_the_giants_lance;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_the_eyrie;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_the_eyrie;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_stone;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_snow;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_sky;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_the_gates_of_the_moon;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_hearts_home;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_hearts_home;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_creek_castle;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_wingpass;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_bloody_gate;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_bloody_gate;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_grey_glen;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_grey_glen;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_greypool;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_greymund;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_redfort;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_redfort;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_horton;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_daynsquarry;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_daynsfort;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_ninestars;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_ninestars;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_barlebury;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
b_barleford;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
d_eastweald;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
c_upcliff;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
