job_chancellor;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
job_treasurer;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
job_marshal;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
claim_all_rb_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
title_ser_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
scholar_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
detached_priest;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
detached_priest_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
martial_cleric;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
martial_cleric_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
scholarly_theologian;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
scholarly_theologian_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
mastermind_theologian;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
mastermind_theologian_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
#bastard;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
#bastard_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_2;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
HEIR_TO_TITLE;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EXILE_FROM_PLAYER_LOG;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
indulgent_wastrel;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
indulgent_wastrel_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
thrifty_clerk;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
thrifty_clerk_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
fortune_builder;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
fortune_builder_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
midas_touched;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
midas_touched_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
misguided_warrior;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
misguided_warrior_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
tough_soldier;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
tough_soldier_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
skilled_tactician;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
skilled_tactician_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
