#CODE;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikid;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikid_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikiddirewolf;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikidcrow;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikideagle;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikiddog;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikiddirewolf_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikidcrow_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikideagle_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
wikiddog_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
CUSTOMTOOLTIPwikidsuccess;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
CUSTOMTOOLTIPwikidfail;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionloves;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionhates;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
CUSTOMTOOLTIPwikidcompanionbetrayinform;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTTITLEwikid.1;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTDESCwikid.1;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTAwikid.1;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTBwikid.1;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTCwikid.1;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTTITLEwikid.2;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTDESCwikid.2;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTDESCwikid.2B;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTDESCwikid.2C;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTAwikid.2;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTBwikid.2;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTTITLEwikid.3;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTDESCwikid.3;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTAwikid.3;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
TOOLTIPwikid.4;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTBwikid.3;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTTITLEwikid.4;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTDESCwikid.4;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTAwikid.4;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
EVTOPTBwikid.4;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x
