#CODE;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
AGOT_MOD_VERSION;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESCmaintenance.19;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESCmaintenance.19B;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
RULE_CK2_VERSION_WARNING;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
RULE_CK2_VERSION_WARNING_ON_DESC;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
RULE_CK2_VERSION_WARNING_OFF_DESC;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
k_trident;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
k_trident_adj;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTOPTG100110;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
title_concubine;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
title_concubine_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
title_revoke_minor_title;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
title_revoke_minor_title_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
title_revoke_court_jester;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
title_revoke_court_jester_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC300001;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTOPTA300001;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
action_oversee_province;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
action_oversee_province_nomadic;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
action_improve_defenses;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
action_pacify_province;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
action_pacify_province_nomadic;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20201;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20512;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20513;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20592;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20612;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20613;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20501;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
EVTDESC20511;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;
