#CODE;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
incompetent_scientist;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
incompetent_scientist_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
dutiful_academic;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
dutiful_academic_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;0
expert_scientist;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
expert_scientist_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
mastermind_scholar;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
mastermind_scholar_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
maester;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
archmaester;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
maester_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
archmaester_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
title_archmaester;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
title_maester;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
title_maester_desc;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_andal;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_iron_isles_culture;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_dornish;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_high_valyrian;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_western_valyrian;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_first_men;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_moon_clansman;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_rhoynar;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_old_andal;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_moon_clansman;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_skagosi;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
job_physician_asshai;Hodor;Hodor;Hodor;Hodor;Hodor;;;;;;;;;x;
